Date;Day;Month;Year;Site;Management;Transect;Cuadrante;Estacion del transecto (m);Depth.m;Species.type;Species;Presence;Abundance;DD;NE;LE;LT;Frondosity;Observaciones
24/10/2022;24;10;2022;Chañaral de Aceituno ALA;OA;1;7;90;5;Macroalgae;Lessonia trabeculata;1;1;10;2;15;60;3;
22/4/2025;22;4;2024;Huiro;OA;3;1;0;12.7;Animal;Taliepus sp;1;9;;;;;;
24/10/2022;24;10;2022;Chañaral de Aceituno ALA;OA;1;7;90;9.5;Macroalgae;Lessonia trabeculata;1;1;40;5;76;120;3;
24/10/2022;24;10;2022;Chañaral de Aceituno ALA;OA;1;7;90;9.5;Macroalgae;Lessonia trabeculata;1;1;3;2;4;40;3;
24/10/2022;24;10;2022;Chañaral de Aceituno ALA;OA;1;7;60;8.7;Macroalgae;Lessonia trabeculata;1;1;44;7;48;182;3;
25/10/2022;24;10;2022;Chañaral de Aceituno ALA;OA;2;1;10;20;Macroalgae;Lessonia trabeculata;1;1;37;4;99;330;3;
22/4/2025;22;4;2024;Huiro;OA;3;2;25;11;Animal;Taliepus sp;1;3;;;;;;
26/10/2022;24;10;2022;Chañaral de Aceituno ALA;OA;2;1;10;20;Macroalgae;Lessonia trabeculata;1;1;27;5;66;222;3;
24/10/2022;24;10;2022;Chañaral de Aceituno ALA;OA;2;1;0;18;Macroalgae;Lessonia trabeculata;1;1;15;2;72;242;3;
27/10/2022;24;10;2022;Chañaral de Aceituno ALA;OA;2;2;20;18;Macroalgae;Lessonia trabeculata;1;1;26;3;62;220;3;
22/4/2025;22;4;2024;Huiro;OA;3;3;50;10.2;Animal;Taliepus sp;1;1;;;;;;
24/10/2022;24;10;2022;Chañaral de Aceituno ALA;OA;2;2;20;19;Macroalgae;Lessonia trabeculata;1;1;60;14;70;236;3;Coalescente
24/10/2022;24;10;2022;Chañaral de Aceituno ALA;OA;2;2;20;19;Macroalgae;Lessonia trabeculata;1;1;30;2;130;210;3;
28/10/2022;24;10;2022;Chañaral de Aceituno ALA;OA;2;3;30;18;Macroalgae;Lessonia trabeculata;1;1;31;3;59;205;3;
22/4/2025;22;4;2024;Huiro;OA;4;1;0;12.4;Animal;Taliepus sp;1;1;;;;;;
29/10/2022;24;10;2022;Chañaral de Aceituno ALA;OA;2;3;30;17;Macroalgae;Lessonia trabeculata;1;1;37;3;55;150;3;
24/10/2022;24;10;2022;Chañaral de Aceituno ALA;OA;2;3;40;18;Macroalgae;Lessonia trabeculata;1;1;30;2;70;243;3;
24/10/2022;24;10;2022;Chañaral de Aceituno ALA;OA;2;3;40;18;Macroalgae;Lessonia trabeculata;1;1;40;19;29;133;3;Coalescente
30/10/2022;24;10;2022;Chañaral de Aceituno ALA;OA;2;4;40;16;Macroalgae;Lessonia trabeculata;1;1;24;4;38;178;3;
24/10/2022;24;10;2022;Chañaral de Aceituno ALA;OA;2;4;90;16;Macroalgae;Lessonia trabeculata;1;1;16;9;16;132;3;
31/10/2022;24;10;2022;Chañaral de Aceituno ALA;OA;2;5;50;16;Macroalgae;Lessonia trabeculata;1;1;19;8;30;123;3;
22/4/2025;22;4;2024;Huiro;OA;4;2;25;10.5;Animal;Taliepus sp;1;4;;;;;;
1/11/2022;24;10;2022;Chañaral de Aceituno ALA;OA;2;5;50;16;Macroalgae;Lessonia trabeculata;1;1;19;6;14;189;3;
24/10/2022;24;10;2022;Chañaral de Aceituno ALA;OA;2;5;100;15;Macroalgae;Lessonia trabeculata;1;1;43;7;32;126;3;Coalescente
2/11/2022;24;10;2022;Chañaral de Aceituno ALA;OA;2;6;60;16;Macroalgae;Lessonia trabeculata;1;1;26;7;20;147;3;
22/4/2025;22;4;2024;Huiro;OA;4;3;50;9.7;Animal;Taliepus sp;1;1;;;;;;
3/11/2022;24;10;2022;Chañaral de Aceituno ALA;OA;2;7;70;15;Macroalgae;Lessonia trabeculata;1;1;26;2;74;206;3;
4/11/2022;24;10;2022;Chañaral de Aceituno ALA;OA;2;7;70;15;Macroalgae;Lessonia trabeculata;1;1;20;1;70;108;3;
26/10/2022;26;10;2022;Chañaral de Aceituno ALA;OA;3;1;10;11.7;Macroalgae;Lessonia trabeculata;1;1;29;14;53;140;3;
26/10/2022;26;10;2022;Chañaral de Aceituno ALA;OA;3;2;20;12;Macroalgae;Lessonia trabeculata;1;1;30;10;79;182;3;
26/10/2022;26;10;2022;Chañaral de Aceituno ALA;OA;3;2;20;12;Macroalgae;Lessonia trabeculata;1;1;30;8;93;280;3;
26/10/2022;26;10;2022;Chañaral de Aceituno ALA;OA;3;2;20;12.5;Macroalgae;Lessonia trabeculata;1;1;30;6;52;191;3;
26/10/2022;26;10;2022;Chañaral de Aceituno ALA;OA;3;3;30;12.8;Macroalgae;Lessonia trabeculata;1;1;40;5;100;159;3;
26/10/2022;26;10;2022;Chañaral de Aceituno ALA;OA;3;3;30;13.1;Macroalgae;Lessonia trabeculata;1;1;30;6;73;168;3;
26/10/2022;26;10;2022;Chañaral de Aceituno ALA;OA;3;4;40;13;Macroalgae;Lessonia trabeculata;1;1;42;8;78;194;3;
26/10/2022;26;10;2022;Chañaral de Aceituno ALA;OA;3;4;40;13.2;Macroalgae;Lessonia trabeculata;1;1;43;7;58;150;3;
26/10/2022;26;10;2022;Chañaral de Aceituno ALA;OA;3;4;40;13.2;Macroalgae;Lessonia trabeculata;1;1;35;10;46;174;3;
26/10/2022;26;10;2022;Chañaral de Aceituno ALA;OA;3;4;40;13;Animal;Taliepus sp;1;1;NA;NA;NA;NA;NA;
26/10/2022;26;10;2022;Chañaral de Aceituno ALA;OA;3;4;40;13;Animal;Tetrapygus niger;1;1;NA;NA;NA;NA;NA;
26/10/2022;26;10;2022;Chañaral de Aceituno ALA;OA;3;5;50;10;Macroalgae;Lessonia trabeculata;1;1;33;9;93;171;3;
26/10/2022;26;10;2022;Chañaral de Aceituno ALA;OA;3;5;50;10;Macroalgae;Lessonia trabeculata;1;1;35;8;92;184;3;
26/10/2022;26;10;2022;Chañaral de Aceituno ALA;OA;3;5;50;10;Macroalgae;Lessonia trabeculata;1;1;37;2;7;158;3;Coalescente
26/10/2022;26;10;2022;Chañaral de Aceituno ALA;OA;3;5;50;10;Macroalgae;Lessonia trabeculata;1;1;32;1;61;232;3;
26/10/2022;26;10;2022;Chañaral de Aceituno ALA;OA;3;6;60;11;Macroalgae;Lessonia trabeculata;1;1;23;4;127;224;3;
26/10/2022;26;10;2022;Chañaral de Aceituno ALA;OA;3;6;60;11;Macroalgae;Lessonia trabeculata;1;1;27;4;132;252;3;
26/10/2022;26;10;2022;Chañaral de Aceituno ALA;OA;3;6;60;12.4;Macroalgae;Lessonia trabeculata;1;1;26;2;51;176;3;Coalescente
26/10/2022;26;10;2022;Chañaral de Aceituno ALA;OA;3;6;60;12.4;Macroalgae;Lessonia trabeculata;1;1;15;1;44;124;3;
27/10/2022;27;10;2022;Chañaral de Aceituno C;AMERB;1;1;40;8;Macroalgae;Lessonia trabeculata;1;1;45;28;62;154;3;
27/10/2022;27;10;2022;Chañaral de Aceituno C;AMERB;1;1;40;8;Macroalgae;Lessonia trabeculata;1;1;41;6;120;204;3;
27/10/2022;27;10;2022;Chañaral de Aceituno C;AMERB;1;1;40;8;Macroalgae;Lessonia trabeculata;1;1;18;10;28;115;3;medida fuera del cuadrante
27/10/2022;27;10;2022;Chañaral de Aceituno C;AMERB;1;2;50;10;Macroalgae;Lessonia trabeculata;1;1;42;29;119;185;3;
22/3/2024;22;3;2024;Cobquecura;AMERB;1;1;0;9.3;Animal;Tetrapygus niger;1;3;NA;NA;NA;NA;NA;
27/10/2022;27;10;2022;Chañaral de Aceituno C;AMERB;1;2;50;10;Macroalgae;Lessonia trabeculata;1;1;33;29;128;180;3;
27/10/2022;27;10;2022;Chañaral de Aceituno C;AMERB;1;2;50;10;Macroalgae;Lessonia trabeculata;1;1;23;6;136;190;3;
22/3/2024;22;3;2024;Cobquecura;AMERB;1;2;10;8.5;Animal;Fissurella latimarginata;1;1;NA;NA;NA;NA;NA;
27/10/2022;27;10;2022;Chañaral de Aceituno C;AMERB;1;3;60;9.9;Macroalgae;Lessonia trabeculata;1;1;46;16;145;200;3;
27/10/2022;27;10;2022;Chañaral de Aceituno C;AMERB;1;3;60;9.9;Macroalgae;Lessonia trabeculata;1;1;32;6;90;186;3;
27/10/2022;27;10;2022;Chañaral de Aceituno C;AMERB;1;3;60;9.9;Macroalgae;Lessonia trabeculata;1;1;31;3;109;175;3;
27/10/2022;27;10;2022;Chañaral de Aceituno C;AMERB;1;4;70;9.2;Macroalgae;Lessonia trabeculata;1;1;7;3;20;70;3;
27/10/2022;27;10;2022;Chañaral de Aceituno C;AMERB;1;4;70;9.2;Macroalgae;Lessonia trabeculata;1;1;17;10;12;100;3;
22/3/2024;22;3;2024;Cobquecura;AMERB;1;3;20;10.6;Animal;NA;0;0;NA;NA;NA;NA;NA;
27/10/2022;27;10;2022;Chañaral de Aceituno C;AMERB;1;4;70;9.2;Macroalgae;Lessonia trabeculata;1;1;28;9;63;126;3;
27/10/2022;27;10;2022;Chañaral de Aceituno C;AMERB;1;5;80;8.8;Macroalgae;Lessonia trabeculata;1;1;44;19;115;176;3;
27/10/2022;27;10;2022;Chañaral de Aceituno C;AMERB;1;5;80;8.8;Macroalgae;Lessonia trabeculata;1;1;15;7;9;105;3;
27/10/2022;27;10;2022;Chañaral de Aceituno C;AMERB;1;7;95;9.4;Macroalgae;Lessonia trabeculata;1;1;20;3;60;146;3;
27/10/2022;27;10;2022;Chañaral de Aceituno C;AMERB;1;7;95;9.4;Macroalgae;Lessonia trabeculata;1;1;33;8;90;154;3;
22/3/2024;22;3;2024;Cobquecura;AMERB;1;4;30;10;Animal;Fissurella latimarginata;1;1;NA;NA;NA;NA;NA;
27/10/2022;27;10;2022;Chañaral de Aceituno C;AMERB;1;8;90;9.5;Macroalgae;Lessonia trabeculata;1;1;38;5;92;236;3;
27/10/2022;27;10;2022;Chañaral de Aceituno C;AMERB;1;8;90;9.5;Macroalgae;Lessonia trabeculata;1;1;40;10;135;238;3;
27/10/2022;27;10;2022;Chañaral de Aceituno C;AMERB;5;3;20;14.6;Macroalgae;Lessonia trabeculata;1;1;90;21;153;280;3;
27/10/2022;27;10;2022;Chañaral de Aceituno C;AMERB;5;4;30;16.3;Macroalgae;Lessonia trabeculata;1;1;14;1;118;146;1;
27/10/2022;27;10;2022;Chañaral de Aceituno C;AMERB;5;5;40;14.4;Macroalgae;Lessonia trabeculata;1;1;16;3;124;210;3;
27/10/2022;27;10;2022;Chañaral de Aceituno C;AMERB;5;5;40;14.4;Macroalgae;Lessonia trabeculata;1;1;32;6;106;200;3;
27/10/2022;27;10;2022;Chañaral de Aceituno C;AMERB;5;1;5;11.6;Macroalgae;Lessonia trabeculata;1;1;30;2;126;228;3;
27/10/2022;27;10;2022;Chañaral de Aceituno C;AMERB;5;1;5;11.6;Macroalgae;Lessonia trabeculata;1;1;22;15;32;154;3;
27/10/2022;27;10;2022;Chañaral de Aceituno C;AMERB;5;1;5;11.6;Macroalgae;Lessonia trabeculata;1;1;28;3;130;200;3;
27/10/2022;27;10;2022;Chañaral de Aceituno C;AMERB;5;2;10;11;Macroalgae;Lessonia trabeculata;1;1;22;2;130;212;2;
27/10/2022;27;10;2022;Chañaral de Aceituno C;AMERB;5;4;30;16;Macroalgae;Lessonia trabeculata;1;1;21;1;112;180;2;
27/10/2022;27;10;2022;Chañaral de Aceituno C;AMERB;5;4;30;16;Macroalgae;Lessonia trabeculata;1;1;30;3;100;172;2;
22/3/2024;22;3;2024;Cobquecura;AMERB;1;5;40;7.8;Animal;NA;0;0;NA;NA;NA;NA;NA;
27/10/2022;27;10;2022;Chañaral de Aceituno C;AMERB;5;5;40;15.7;Macroalgae;Lessonia trabeculata;1;1;24;5;130;223;3;
27/10/2022;27;10;2022;Chañaral de Aceituno C;AMERB;5;6;55;13;Macroalgae;Lessonia trabeculata;1;1;50;10;110;185;3;
22/3/2024;22;3;2024;Cobquecura;AMERB;1;6;50;NA;Animal;Tetrapygus niger;1;2;NA;NA;NA;NA;NA;
22/3/2024;22;3;2024;Cobquecura;AMERB;1;6;50;NA;Animal;Fissurella latimarginata;1;1;NA;NA;NA;NA;NA;
27/10/2022;27;10;2022;Chañaral de Aceituno C;AMERB;5;7;60;11.5;Macroalgae;Lessonia trabeculata;1;1;8;11;8;90;3;
22/3/2024;22;3;2024;Cobquecura;AMERB;1;7;60;10;Animal;NA;0;0;NA;NA;NA;NA;NA;
27/10/2022;27;10;2022;Chañaral de Aceituno C;AMERB;10;1;20;15;Macroalgae;Lessonia trabeculata;1;1;42;11;118;280;2;
22/3/2024;22;3;2024;Cobquecura;AMERB;5;1;30;18.9;Animal;Tegula sp;1;5;NA;NA;NA;NA;NA;
27/10/2022;27;10;2022;Chañaral de Aceituno C;AMERB;10;1;20;15;Macroalgae;Lessonia trabeculata;1;1;38;4;168;333;3;
22/3/2024;22;3;2024;Cobquecura;AMERB;5;2;40;18.3;Animal;Tegula cuadricostata;1;4;NA;NA;NA;NA;NA;
27/10/2022;27;10;2022;Chañaral de Aceituno C;AMERB;10;2;30;12.5;Macroalgae;Lessonia trabeculata;1;1;48;15;140;270;3;
27/10/2022;27;10;2022;Chañaral de Aceituno C;AMERB;10;3;40;13;Macroalgae;Lessonia trabeculata;1;1;53;19;93;212;3;
22/3/2024;22;3;2024;Cobquecura;AMERB;5;3;50;18.5;Animal;Tegula cuadricostata;1;1;NA;NA;NA;NA;NA;
27/10/2022;27;10;2022;Chañaral de Aceituno C;AMERB;10;4;50;15;Macroalgae;Lessonia trabeculata;1;1;30;3;120;241;3;
27/10/2022;27;10;2022;Chañaral de Aceituno C;AMERB;10;5;60;14.2;Macroalgae;Lessonia trabeculata;1;1;30;20;29;151;3;
22/3/2024;22;3;2024;Cobquecura;AMERB;5;4;60;NA;Animal;Tegula cuadricostata;1;1;NA;NA;NA;NA;NA;
27/10/2022;27;10;2022;Chañaral de Aceituno C;AMERB;10;5;60;14.2;Macroalgae;Lessonia trabeculata;1;1;5;2;8;39;3;
22/3/2024;22;3;2024;Cobquecura;AMERB;4;1;100;11.2;Macroalgae;Lessonia trabeculata;1;1;20;4;6;67;2;
22/3/2024;22;3;2024;Cobquecura;AMERB;4;1;100;11.2;Macroalgae;Lessonia trabeculata;1;1;24;12;13;87;3;
22/3/2024;22;3;2024;Cobquecura;AMERB;5;5;70;16.6;Animal;Taliepus sp;1;1;NA;NA;NA;NA;NA;
22/3/2024;22;3;2024;Cobquecura;AMERB;4;1;100;11.2;Macroalgae;Lessonia trabeculata;1;1;15;2;14;58;1;
22/3/2024;22;3;2024;Cobquecura;AMERB;5;6;80;NA;Animal;NA;0;0;NA;NA;NA;NA;NA;
22/3/2024;22;3;2024;Cobquecura;AMERB;4;2;90;10;Macroalgae;Lessonia trabeculata;1;1;25;2;15;150;3;
22/3/2024;22;3;2024;Cobquecura;AMERB;4;3;80;17;Macroalgae;Lessonia trabeculata;1;1;30;6;13;189;3;
22/3/2024;22;3;2024;Cobquecura;AMERB;5;7;90;16.6;Animal;Taliepus sp;1;1;NA;NA;NA;NA;NA;
22/3/2024;22;3;2024;Cobquecura;AMERB;4;4;70;17;Macroalgae;Lessonia trabeculata;1;1;29;3;16;100;2;
22/3/2024;22;3;2024;Cobquecura;AMERB;4;5;60;17;Macroalgae;Lessonia trabeculata;1;1;27;4;17;270;3;
22/3/2024;22;3;2024;Cobquecura;AMERB;4;6;40;18;Macroalgae;Lessonia trabeculata;1;1;2;2;2;38;2;juvenil
22/3/2024;22;3;2024;Cobquecura;AMERB;4;7;20;17;Macroalgae;Lessonia trabeculata;1;1;34;6;20;150;3;
22/3/2024;22;3;2024;Cobquecura;AMERB;1;1;0;9.3;Macroalgae;Lessonia trabeculata;1;1;30;6;60;230;3;
22/3/2024;22;3;2024;Cobquecura;AMERB;1;1;0;9.3;Macroalgae;Lessonia trabeculata;1;1;0.2;2;0;2;3;
22/3/2024;22;3;2024;Cobquecura;AMERB;1;1;0;9.3;Macroalgae;Lessonia trabeculata;1;1;0.2;1;0;7;3;
22/3/2024;22;3;2024;Cobquecura;AMERB;1;1;0;9.3;Macroalgae;Lessonia trabeculata;1;1;0.2;3;0;10;3;
22/3/2024;22;3;2024;Cobquecura;AMERB;1;1;0;9.3;Macroalgae;Lessonia trabeculata;1;1;4;4;0;50;3;
22/3/2024;22;3;2024;Cobquecura;AMERB;1;2;10;8.5;Macroalgae;Lessonia trabeculata;1;1;39;10;100;180;3;
22/3/2024;22;3;2024;Cobquecura;AMERB;1;2;10;8.5;Macroalgae;Lessonia trabeculata;1;1;2;1;0;20;3;
22/3/2024;22;3;2024;Cobquecura;AMERB;1;3;20;10.6;Macroalgae;Lessonia trabeculata;1;1;29;3;80;190;3;
22/3/2024;22;3;2024;Cobquecura;AMERB;1;2;10;8.9;Animal;Tetrapygus niger;1;3;NA;NA;NA;NA;NA;
22/3/2024;22;3;2024;Cobquecura;AMERB;1;3;20;10.6;Macroalgae;Lessonia trabeculata;1;1;19;1;30;113;3;
22/3/2024;22;3;2024;Cobquecura;AMERB;1;3;20;10.6;Macroalgae;Lessonia trabeculata;1;1;0.2;1;0;8;3;
22/3/2024;22;3;2024;Cobquecura;AMERB;1;3;20;10.6;Macroalgae;Lessonia trabeculata;1;1;0.2;1;0;7;3;
22/3/2024;22;3;2024;Cobquecura;AMERB;1;3;20;10.6;Macroalgae;Lessonia trabeculata;1;1;0.2;1;0;7;3;
22/3/2024;22;3;2024;Cobquecura;AMERB;1;4;30;10;Macroalgae;Lessonia trabeculata;1;1;29;2;50;140;3;
22/3/2024;22;3;2024;Cobquecura;AMERB;1;4;30;10;Macroalgae;Lessonia trabeculata;1;1;0.2;1;0;15;3;
22/3/2024;22;3;2024;Cobquecura;AMERB;1;4;30;10;Macroalgae;Lessonia trabeculata;1;1;0.2;1;0;10;3;
22/3/2024;22;3;2024;Cobquecura;AMERB;1;4;30;10;Macroalgae;Lessonia trabeculata;1;1;0.2;1;0;7;3;
22/3/2024;22;3;2024;Cobquecura;AMERB;1;4;30;10;Macroalgae;Lessonia trabeculata;1;1;0.2;1;0;12;3;
22/3/2024;22;3;2024;Cobquecura;AMERB;1;4;30;10;Macroalgae;Lessonia trabeculata;1;1;0.2;1;0;10;3;
22/3/2024;22;3;2024;Cobquecura;AMERB;1;4;30;10;Macroalgae;Lessonia trabeculata;1;1;0.2;1;0;15;3;
22/3/2024;22;3;2024;Cobquecura;AMERB;1;4;30;10;Macroalgae;Lessonia trabeculata;1;1;0.2;1;0;14;3;
22/3/2024;22;3;2024;Cobquecura;AMERB;1;4;30;10;Macroalgae;Lessonia trabeculata;1;1;0.2;1;0;8;3;
22/3/2024;22;3;2024;Cobquecura;AMERB;1;4;30;10;Macroalgae;Lessonia trabeculata;1;1;0.2;1;0;12;3;
22/3/2024;22;3;2024;Cobquecura;AMERB;1;4;30;10;Macroalgae;Lessonia trabeculata;1;1;0.2;1;0;3;3;
22/3/2024;22;3;2024;Cobquecura;AMERB;1;5;40;7.8;Macroalgae;Lessonia trabeculata;1;1;51;12;90;225;3;
22/3/2024;22;3;2024;Cobquecura;AMERB;1;5;40;7.8;Macroalgae;Lessonia trabeculata;1;1;1;1;0;9;3;
22/3/2024;22;3;2024;Cobquecura;AMERB;1;5;40;7.8;Macroalgae;Lessonia trabeculata;1;1;0.2;1;0;7;3;
22/3/2024;22;3;2024;Cobquecura;AMERB;1;5;40;7.8;Macroalgae;Lessonia trabeculata;1;1;0.2;1;0;2;3;
22/3/2024;22;3;2024;Cobquecura;AMERB;1;5;40;7.8;Macroalgae;Lessonia trabeculata;1;1;0.2;1;0;3;3;
22/3/2024;22;3;2024;Cobquecura;AMERB;1;5;40;7.8;Macroalgae;Lessonia trabeculata;1;1;0.2;1;0;10;3;
22/3/2024;22;3;2024;Cobquecura;AMERB;1;6;50;NA;Macroalgae;Lessonia trabeculata;1;1;38;13;50;210;3;
22/3/2024;22;3;2024;Cobquecura;AMERB;1;6;50;NA;Macroalgae;Lessonia trabeculata;1;1;23;4;56;273;3;
22/3/2024;22;3;2024;Cobquecura;AMERB;1;7;60;10;Macroalgae;Lessonia trabeculata;1;1;40;8;76;210;3;
22/3/2024;22;3;2024;Cobquecura;AMERB;5;1;30;18.9;Macroalgae;Lessonia trabeculata;1;1;50;4;136;277;3;Coalescente
22/3/2024;22;3;2024;Cobquecura;AMERB;5;2;40;18.3;Macroalgae;Lessonia trabeculata;1;1;46;4;140;290;3;
22/3/2024;22;3;2024;Cobquecura;AMERB;5;3;50;18.5;Macroalgae;Lessonia trabeculata;1;1;26;3;144;260;3;
22/3/2024;22;3;2024;Cobquecura;AMERB;5;3;50;18.5;Macroalgae;Lessonia trabeculata;1;1;21;1;233;240;3;
22/3/2024;22;3;2024;Cobquecura;AMERB;5;4;60;NA;Macroalgae;Lessonia trabeculata;1;1;32;6;150;200;3;
22/3/2024;22;3;2024;Cobquecura;AMERB;5;4;60;NA;Macroalgae;Lessonia trabeculata;1;1;35;4;130;250;3;
1/12/2024;12;1;2024;Quintay A;AMERB;1;3;20;9.3;Animal;Taliepus sp;1;1;NA;NA;NA;NA;NA;
22/3/2024;22;3;2024;Cobquecura;AMERB;5;5;70;16.6;Macroalgae;Lessonia trabeculata;1;1;25;6;210;280;3;
22/3/2024;22;3;2024;Cobquecura;AMERB;5;5;70;16.6;Macroalgae;Lessonia trabeculata;1;1;5;2;12;50;3;
22/3/2024;22;3;2024;Cobquecura;AMERB;5;5;70;16.6;Macroalgae;Lessonia trabeculata;1;1;1;1;12;40;3;
22/3/2024;22;3;2024;Cobquecura;AMERB;5;6;80;NA;Macroalgae;Lessonia trabeculata;1;1;35;4;165;300;3;
22/3/2024;22;3;2024;Cobquecura;AMERB;5;7;90;16.6;Macroalgae;Lessonia trabeculata;1;1;34;3;126;220;3;
22/3/2024;22;3;2024;Cobquecura;AMERB;5;7;90;16.6;Macroalgae;Lessonia trabeculata;1;1;46;9;140;200;3;
22/3/2024;22;3;2024;Cobquecura;AMERB;4;1;100;11.2;Macroalgae;Lessonia trabeculata;1;1;40;12;130;200;3;
22/3/2024;22;3;2024;Cobquecura;AMERB;4;1;100;11.2;Macroalgae;Lessonia trabeculata;1;1;40;15;77;180;3;
22/3/2024;22;3;2024;Cobquecura;AMERB;4;1;100;11.2;Macroalgae;Lessonia trabeculata;1;1;0.2;1;0.4;6;3;
22/3/2024;22;3;2024;Cobquecura;AMERB;4;2;90;10;Macroalgae;Lessonia trabeculata;1;1;50;10;170;266;3;
22/3/2024;22;3;2024;Cobquecura;AMERB;4;2;90;10;Macroalgae;Lessonia trabeculata;1;1;30;6;125;263;3;
22/3/2024;22;3;2024;Cobquecura;AMERB;4;3;80;17;Macroalgae;Lessonia trabeculata;1;1;47;8;140;260;3;
22/3/2024;22;3;2024;Cobquecura;AMERB;4;4;70;17;Macroalgae;Lessonia trabeculata;1;1;49;5;110;267;3;
1/12/2024;12;1;2024;Quintay A;OA;5;3;30;12.5;Animal;Taliepus sp;1;1;NA;NA;NA;NA;NA;
22/3/2024;22;3;2024;Cobquecura;AMERB;4;5;60;17;Macroalgae;Lessonia trabeculata;1;1;28;4;115;218;3;
22/3/2024;22;3;2024;Cobquecura;AMERB;4;6;40;18;Macroalgae;Lessonia trabeculata;1;1;31;5;115;266;3;
22/3/2024;22;3;2024;Cobquecura;AMERB;4;7;20;17;Macroalgae;Lessonia trabeculata;1;1;30;4;136;234;3;
22/3/2024;22;3;2024;Cobquecura;AMERB;1;1;0;8;Macroalgae;Lessonia trabeculata;1;1;32;8;143;255;3;
22/3/2024;22;3;2024;Cobquecura;AMERB;1;2;10;8.9;Macroalgae;Lessonia trabeculata;1;1;17;4;61;131;3;
22/3/2024;22;3;2024;Cobquecura;AMERB;1;3;20;8.9;Macroalgae;Lessonia trabeculata;1;1;27;1;37;156;3;
